"ath1_probe";"probe_target_number";"FC_35LFY_Ler_GSE911";"pfp_35LFY_Ler_GSE911";"P.value_35LFY_Ler_GSE911";"FC_DexCyclo_Cyclo_GSE911";"pfp_FC_DexCyclo_Cyclo_GSE911";"P.value_FC_DexCyclo_Cyclo_GSE911";"FC_DEX_MOCK_GSE911";"pfp_DEX_MOCK_GSE911";"P.value_DEX_MOCK_GSE911";"FC_LFYGR_WT_GSE28062";"pfp_LFYGR_WT_GSE28062";"P.value_LFYGR_WT_GSE28062";"Locus.Identifier";"Annotation"
"257516_at";12616;0.3712;"0.0375";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT1G69040";"ACR4 (ACT REPEAT 4); amino acid binding"
"257543_at";12643;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5257;"0.0133";"0,0004";"AT3G28960";"amino acid transporter family protein"
"257547_at";12647;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5911;"0.0201";"0,0007";"AT3G13000";"transcription factor"
"257567_at";12667;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6857;"0.0642";"0.0032";"AT3G23930";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G13540.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN67122.1)"
"257580_at";12680;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3889;"0.0943";"0.0035";"AT3G06210";"binding"
"257583_at";12683;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7031;"0.0843";"0.0045";"AT1G66480";"PMI2 (plastid movement impaired 2)"
"257600_at";12700;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5528;"0.011";"0,0003";"AT3G24770";"CLE41 (CLAVATA3/ESR-RELATED 41); receptor binding"
"257610_at";12710;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5854;"0.0171";"0,0005";"AT3G13810";"ATIDD11 (ARABIDOPSIS THALIANA INDETERMINATE(ID)-DOMAIN 11); nucleic acid binding / transcription factor/ zinc ion binding"
"257619_at";12719;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6102;"0.0217";"0,0008";"AT3G24810";"ICK3 (kip-related protein 5); cyclin-dependent protein kinase inhibitor"
"257641_s_at";12741;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7143;"0.0891";"0.0049";"AT3G25760;AT3G25770";"[AT3G25760, AOC1 (ALLENE OXIDE CYCLASE 1)];[AT3G25770, AOC2 (ALLENE OXIDE CYCLASE 2)]"
"257642_at";12742;NA;NA;NA;NA;NA;NA;3.9121;0.0258;"0";1.3452;"0.0957";"0.0036";"AT3G25710";"basic helix-loop-helix (bHLH) family protein"
"257643_at";12743;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5715;"0.0163";"0,0005";"AT3G25730";"AP2 domain-containing transcription factor, putative"
"257670_at";12770;0.3575;"0.0387";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT3G20340";"Expression of the gene is downregulated in the presence of paraquat, an inducer of photoxidative stress."
"257679_at";12779;2.2627;"0.0609";"0,0003";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT3G20470";"encodes a glycine-rich protein that is expressed more abundantly in immature seed pods than in stems and leaves. Expression is not detected in roots or flowers."
"257690_at";12790;NA;NA;NA;4.7549;0.017;"0";NA;NA;NA;NA;NA;NA;"AT3G12830";"auxin-responsive family protein"
"257697_at";12797;NA;NA;NA;0.3416;0.0884;"0,0001";NA;NA;NA;NA;NA;NA;"AT3G12700";"aspartyl protease family protein"
"257701_at";12801;NA;NA;NA;NA;NA;NA;0.1777;0.0219;"0";0.3155;"0,0003";"0";"AT3G12710";"methyladenine glycosylase family protein"
"257715_at";12815;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2987;"0,0003";"0";"AT3G12750";"ZIP1 (ZINC TRANSPORTER 1 PRECURSOR); zinc ion transmembrane transporter"
"257716_at";12816;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4547;"0.0459";"0.0011";"AT3G18300";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G48780.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN62793.1)"
"257722_at";12822;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6464;"0.0303";"0.0012";"AT3G18490";"aspartyl protease family protein"
"257748_at";12848;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4274;"0.003";"0";"AT3G18710";"U-box domain-containing protein"
"257761_at";12861;0.4506;"0.0692";"0,0004";NA;NA;NA;NA;NA;NA;0.5592;"0.0183";"0,0006";"AT3G23090";"similar to WDL1 (WVD2-LIKE 1) [Arabidopsis thaliana] (TAIR:AT3G04630.2); similar to WDL1 (WVD2-LIKE 1) [Arabidopsis thaliana] (TAIR:AT3G04630.3); similar to seed specific protein Bn15D14A [Brassica napus] (GB:AAP37969.1); contains InterPro domain Targeting for Xklp2 (InterPro:IPR009675)"
"257766_at";12866;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4506;"0.0035";"0,0001";"AT3G23030";"IAA2 (indoleacetic acid-induced protein 2); transcription factor"
"257780_at";12880;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4814;"0.0308";"0,0006";"AT3G27100";"similar to unknown [Picea sitchensis] (GB:ABK23311.1)"
"257784_at";12884;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7298;"0.0852";"0.0046";"AT3G26980";"MUB4 (MEMBRANE-ANCHORED UBIQUITIN-FOLD PROTEIN 4 PRECURSOR)"
"257785_at";12885;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6656;"0.038";"0.0016";"AT3G26980";"MUB4 (MEMBRANE-ANCHORED UBIQUITIN-FOLD PROTEIN 4 PRECURSOR)"
"257791_at";12891;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4846;"0.0269";"0,0005";"AT3G27110";"peptidase M48 family protein"
"257793_at";12893;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0577;"0";"0";"AT3G26960";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G41050.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO49052.1)"
"257799_at";12899;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5351;"0.0197";"0,0003";"AT3G15890";"protein kinase family protein"
"257805_at";12905;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5113;"0.0074";"0,0002";"AT3G18830";"ATPLT5 (POLYOL TRANSPORTER 5); D-ribose transmembrane transporter/ D-xylose transmembrane transporter/ carbohydrate transmembrane transporter/ galactose transmembrane transporter/ glucose transmembrane transporter/ glycerol transmembrane transporter/ hydr"
"257822_at";12922;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7392;"0.0876";"0.0048";"AT3G25230";"ROF1 (ROTAMASE FKBP 1); FK506 binding / calmodulin binding / peptidyl-prolyl cis-trans isomerase"
"257823_at";12923;0.2956;"0.0097";"0";NA;NA;NA;NA;NA;NA;0.475;"0.0051";"0,0001";"AT3G25190";"nodulin, putative"
"257830_at";12930;0.4452;"0.0651";"0,0003";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT3G26690";"ATNUDT13 (ARABIDOPSIS THALIANA NUDIX HYDROLASE HOMOLOG 13); hydrolase"
"257854_at";12954;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.8042;"0.0018";"0";"AT3G12980";"ATHPCAT4/HAC5 (HISTONE ACETYLTRANSFERASE OF THE CBP FAMILY 5); H3/H4 histone acetyltransferase/ histone acetyltransferase"
"257858_at";12958;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.385;"0.0015";"0";"AT3G12920";"protein binding / zinc ion binding"
"257875_at";12975;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6392;"0.0287";"0.0011";"AT3G17120";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G01960.1); similar to hypothetical protein MtrDRAFT_AC173289g6v1 [Medicago truncatula] (GB:ABN09095.1)"
"257916_at";13016;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6459;"0.0361";"0.0015";"AT3G23210";"basic helix-loop-helix (bHLH) family protein"
"257922_at";13022;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5602;"0.0122";"0,0003";"AT3G23150";"ETR2 (ETHYLENE RESPONSE 2); receptor"
"257927_at";13027;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5105;"0.0093";"0,0002";"AT3G23240";"ATERF1/ERF1 (ETHYLENE RESPONSE FACTOR 1); DNA binding / transcription activator/ transcription factor"
"257949_at";13049;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5262;"0.0101";"0,0003";"AT3G21750";"UDP-glucoronosyl/UDP-glucosyl transferase family protein"
"257951_at";13051;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3281;"0,0004";"0";"AT3G21700";"GTP binding"
"257952_at";13052;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5193;"0.0079";"0,0002";"AT3G21770";"peroxidase 30 (PER30) (P30) (PRXR9)"
"257954_at";13054;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6902;"0.0783";"0.0041";"AT3G21760";"UDP-glucoronosyl/UDP-glucosyl transferase family protein"
"257959_at";13059;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.8223;"0.0018";"0";"AT3G25560";"NIK2 (NSP-INTERACTING KINASE 2); protein kinase"
"257964_at";13064;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.7075;"0,0001";"0";"AT3G19850";"phototropic-responsive NPH3 family protein"
"257966_at";13066;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3718;"0.0648";"0.0019";"AT3G19800";"similar to unnamed protein product [Vitis vinifera] (GB:CAO15360.1)"
"257969_at";13069;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4365;"0.0389";"0,0008";"AT3G27520";"similar to unnamed protein product [Vitis vinifera] (GB:CAO14682.1)"
"257974_at";13074;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5472;"0.0107";"0,0003";"AT3G20820";"leucine-rich repeat family protein"
"257975_at";13075;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6395;"0.0518";"0.0024";"AT3G20830";"protein kinase family protein"
"257978_at";13078;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.694;"0.0698";"0.0036";"AT3G20860";"ATNEK5; kinase"
"257991_at";13091;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.896;"0.0016";"0";"AT3G19870";"binding"
"258002_at";13102;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5792;"0.0151";"0,0005";"AT3G28930";"AIG2 (AVRRPT2-INDUCED GENE 2)"
"258003_at";13103;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6205;"0.023";"0,0008";"AT3G29030";"ATEXPA5 (ARABIDOPSIS THALIANA EXPANSIN A5)"
"258005_at";13105;NA;NA;NA;NA;NA;NA;3.6555;0.0334;"0";1.72;"0.0046";"0";"AT3G19390";"cysteine proteinase, putative / thiol protease, putative"
"258017_at";13117;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3043;"0,0003";"0";"AT3G19370";"similar to transport protein-related [Arabidopsis thaliana] (TAIR:AT2G23360.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO47839.1); contains InterPro domain Protein of unknown function DUF869, plant (InterPro:IPR008587)"
"258024_at";13124;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7272;"0.0767";"0.004";"AT3G19360";"zinc finger (CCCH-type) family protein"
"258063_at";13163;2.4262;"0.0488";"0,0002";NA;NA;NA;NA;NA;NA;0.6916;"0.0805";"0.0043";"AT3G14620";"CYP72A8 (cytochrome P450, family 72, subfamily A, polypeptide 8); oxygen binding"
"258064_at";13164;0.4793;"0.09";"0,0007";NA;NA;NA;NA;NA;NA;0.6246;"0.0251";"0,0009";"AT3G14680";"CYP72A14 (cytochrome P450, family 72, subfamily A, polypeptide 14); oxygen binding"
"258080_at";13180;0.4641;"0.0771";"0,0004";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT3G25930";"universal stress protein (USP) family protein"
"258085_at";13185;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5636;"0.0125";"0,0002";"AT3G26100";"regulator of chromosome condensation (RCC1) family protein"
"258091_at";13191;0.431;"0.059";"0,0003";NA;NA;NA;0.2547;0.0588;"0,0002";0.2315;"0";"0";"AT3G14560";"unknown protein"
"258151_at";13251;NA;NA;NA;NA;NA;NA;0.2595;0.0641;"0,0002";0.3657;"0.001";"0";"AT3G18080";"glycosyl hydrolase family 1 protein"
"258156_at";13256;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5301;"0.0089";"0,0002";"AT3G18050";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G28100.1); similar to unknown [Populus trichocarpa] (GB:ABK95654.1)"
"258164_at";13264;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4145;"0.0484";"0.0012";"AT3G17910";"SURF1 (SURFEIT 1)"
"258184_at";13284;0.4867;"0.087";"0,0006";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT3G21510";"AHP1 (HISTIDINE-CONTAINING PHOSPHOTRANSMITTER 3); histidine phosphotransfer kinase"
"258196_at";13296;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5463;"0.0117";"0,0003";"AT3G13980";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G54200.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN69469.1)"
"258203_at";13303;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6834;"0.0639";"0.0032";"AT3G13950";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G13266.1); similar to Ankyrin [Medicago truncatula] (GB:ABN08906.1)"
"258209_at";13309;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6909;"0.0734";"0.0038";"AT3G14060";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G54120.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO45609.1)"
"258217_at";13317;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4354;"0.0034";"0,0001";"AT3G17998;AT3G18000";"[AT3G17998, CPuORF30 (Conserved peptide upstream open reading frame 30)];[AT3G18000, NMT1 (N-METHYLTRANSFERASE 1); phosphoethanolamine N-methyltransferase]"
"258218_at";13318;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3711;"0.0011";"0";"AT3G17998;AT3G18000";"[AT3G17998, CPuORF30 (Conserved peptide upstream open reading frame 30)];[AT3G18000, NMT1 (N-METHYLTRANSFERASE 1); phosphoethanolamine N-methyltransferase]"
"258221_at";13321;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5776;"0.0092";"0,0001";"AT3G29160";"AKIN11 (ARABIDOPSIS SNF1 KINASE HOMOLOG 11); protein kinase"
"258222_at";13322;NA;NA;NA;NA;NA;NA;0.1249;0.006;"0";0.5607;"0.0137";"0,0004";"AT3G15680";"zinc finger (Ran-binding) family protein"
"258240_at";13340;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1373;"0";"0";"AT3G27660";"OLEO4 (OLEOSIN4)"
"258241_at";13341;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2171;"0";"0";"AT3G27650";"LBD25 (LOB DOMAIN-CONTAINING PROTEIN 25)"
"258252_at";13352;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.618;"0.0489";"0.0023";"AT3G15720";"glycoside hydrolase family 28 protein / polygalacturonase (pectinase) family protein"
"258253_at";13353;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4033;"0.0021";"0";"AT3G26760";"short-chain dehydrogenase/reductase (SDR) family protein"
"258255_at";13355;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5444;"0.0111";"0,0003";"AT3G26800";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G24945.1)"
"258259_s_at";13359;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5585;"0.012";"0,0003";"AT3G26820;AT3G26840";"[AT3G26820, esterase/lipase/thioesterase family protein];[AT3G26840, esterase/lipase/thioesterase family protein]"
"258270_at";13370;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.926;"0";"0";"AT3G15650";"phospholipase/carboxylesterase family protein"
"258275_at";13375;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4276;"0.0506";"0.0013";"AT3G15760";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G52565.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO62742.1)"
"258277_at";13377;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0693;"0";"0";"AT3G26830";"PAD3 (PHYTOALEXIN DEFICIENT 3); oxygen binding"
"258287_at";13387;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5183;"0.0083";"0,0002";"AT3G15990";"SULTR3;4; sulfate transmembrane transporter"
"258288_at";13388;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5187;"0.0075";"0,0002";"no_match";"no_match"
"258291_at";13391;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7373;"0.0927";"0.0051";"AT3G23310";"protein kinase, putative"
"258293_at";13393;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.42;"0.0026";"0";"AT3G23430";"PHO1 (PHOSPHATE 1)"
"258300_at";13400;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5498;"0.0111";"0,0003";"AT3G23340";"CKL10 (Casein Kinase I-like 10); casein kinase I/ kinase"
"258306_at";13406;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.2639;"0";"0";"AT3G30530";"ATBZIP42 (ARABIDOPSIS THALIANA BASIC LEUCINE-ZIPPER); DNA binding / protein heterodimerization/ protein homodimerization/ transcription factor"
"258316_at";13416;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6756;"0.0428";"0.0019";"AT3G22660";"rRNA processing protein-related"
"258323_at";13423;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4838;"0.0242";"0,0004";"AT3G22750";"protein kinase, putative"
"258326_at";13426;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5693;"0.017";"0,0005";"AT3G22760";"SOL1 (TSO1-Like); transcription factor"
"258332_at";13432;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3769;"0.0012";"0";"AT3G16180";"proton-dependent oligopeptide transport (POT) family protein"
"258337_at";13437;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.371;"0.0022";"0";"AT3G16040";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G15270.1); contains InterPro domain Translation machinery associated TMA7 (InterPro:IPR015157)"
"258338_at";13438;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3888;"0.057";"0.0015";"AT3G16150";"L-asparaginase, putative / L-asparagine amidohydrolase, putative"
"258339_at";13439;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.1493;"0,0002";"0";"AT3G16120";"dynein light chain, putative"
"258349_at";13449;0.3422;"0.0249";"0";NA;NA;NA;NA;NA;NA;2.0252;"0,0003";"0";"AT3G17609";"HYH (HY5-HOMOLOG); DNA binding / transcription factor"
"258377_at";13477;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.1074;"0";"0";"AT3G17690";"ATCNGC19 (cyclic nucleotide gated channel 19); calmodulin binding / cyclic nucleotide binding / ion channel"
"258396_at";13496;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6321;"0.0267";"0.001";"AT3G15460";"brix domain-containing protein"
"258406_at";13506;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3534;"0.0801";"0.0027";"AT3G17611";"rhomboid family protein / zinc finger protein-related"
"258409_at";13509;0.4715;"0.0843";"0,0006";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT3G17640";"leucine-rich repeat family protein"
"258414_at";13514;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6518;"0.0372";"0.0016";"AT3G17380";"meprin and TRAF homology domain-containing protein / MATH domain-containing protein"
"258419_at";13519;0.0746;"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT3G16670";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G16660.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO44793.1)"
"258432_at";13532;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5737;"0.0122";"0,0002";"AT3G16570";"RALFL23 (RALF-LIKE 23)"
"258456_at";13556;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4789;"0.0058";"0,0001";"AT3G22420";"WNK2 (WITH NO K 2); kinase"
"258468_at";13568;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5204;"0.008";"0,0002";"AT3G06070";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G19190.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO71112.1)"
"258470_at";13570;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5921;"0.018";"0,0006";"AT3G06035";"Identical to Uncharacterized GPI-anchored protein At3g06035 precursor [Arabidopsis Thaliana] (GB:Q84MC0;GB:Q8H7F7;GB:Q8L9J0); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G19250.1); similar to unknown [Populus trichocarpa] (GB:ABK94712.1)"
"258472_at";13572;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7052;"0.0613";"0.003";"AT3G06080";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G19160.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO71110.1); contains InterPro domain Protein of unknown function DUF231, plant (InterPro:IPR004253)"
"258487_at";13587;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5736;"0.0161";"0,0005";"AT3G02550";"LBD41 (LOB DOMAIN-CONTAINING PROTEIN 41)"
"258496_at";13596;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3184;"0.0989";"0.0038";"AT3G02460";"plant adhesion molecule, putative"
"258501_at";13601;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3919;"0.0551";"0.0015";"AT3G06780";"glycine-rich protein"
"258505_at";13605;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7398;"0.0985";"0.0055";"AT3G06530";"BAP28-related"
"258511_at";13611;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4144;"0.0022";"0";"AT3G06590";"transcription factor"
"258516_at";13616;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5452;"0.0113";"0,0003";"AT3G06490";"MYB108 (MYB DOMAIN PROTEIN 108); DNA binding / transcription factor"
"258527_at";13627;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5563;"0.0137";"0,0002";"AT3G06850";"DIN3/LTA1 (DARK INDUCIBLE 3); alpha-ketoacid dehydrogenase"
"258528_at";13628;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4916;"0.0058";"0,0001";"AT3G06770";"glycoside hydrolase family 28 protein / polygalacturonase (pectinase) family protein"
"258552_at";13652;NA;NA;NA;NA;NA;NA;0.12;0.0046;"0";0.3552;"0,0008";"0";"AT3G07010";"pectate lyase family protein"
"258596_at";13696;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.4918;"0";"0";"AT3G04510";"similar to LSH1 (LIGHT-DEPENDENT SHORT HYPOCOTYLS 1) [Arabidopsis thaliana] (TAIR:AT5G28490.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO65072.1); contains InterPro domain Protein of unknown function DUF640 (InterPro:IPR006936)"
"258609_at";13709;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6316;"0.0308";"0.0012";"AT3G02910";"Identical to UPF0131 protein At3g02910 [Arabidopsis Thaliana] (GB:Q9M8T3); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G46720.1); similar to Os03g0854000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001051934.1); similar to unknown [Picea sitchensis] (GB:ABK22133.1); contains InterPro domain Butirosin biosynthesis, BtrG-like (InterPro:IPR013024); contains InterPro domain Protein of unknown function UPF0131 (InterPro:IPR005347)"
"258610_at";13710;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.394;"0.0484";"0.0012";"AT3G02875";"ILR1 (IAA-LEUCINE RESISTANT 1); metallopeptidase"
"258616_at";13716;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3618;"0.0733";"0.0023";"AT3G02880";"leucine-rich repeat transmembrane protein kinase, putative"
"258618_at";13718;3.0357;"0.0338";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT3G02885";"GASA5 (GAST1 PROTEIN HOMOLOG 5)"
"258621_at";13721;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4011;"0.0501";"0.0013";"AT3G02830";"ZFN1 (ZINC FINGER PROTEIN 1); nucleic acid binding"
"258626_at";13726;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.2361;"0,0001";"0";"AT3G04450";"transcription factor"
"258641_at";13741;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5022;"0.0063";"0,0001";"AT3G08030";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G41800.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO40802.1); contains InterPro domain Protein of unknown function DUF642 (InterPro:IPR006946)"
"258646_at";13746;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0442;"0";"0";"AT3G08040";"FRD3 (FERRIC REDUCTASE DEFECTIVE 3); antiporter"
"258661_at";13761;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.6445;"0.0077";"0,0001";"AT3G02930";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G16730.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO62148.1); contains domain PTHR23160 (PTHR23160)"
"258676_at";13776;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4105;"0.0512";"0.0013";"AT3G08600";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G22900.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO45372.1); contains InterPro domain Protein of unknown function DUF1191 (InterPro:IPR010605)"
"258691_at";13791;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4125;"0.0461";"0.0011";"AT3G08630";"similar to alphavirus core protein family [Arabidopsis thaliana] (TAIR:AT3G08640.1); similar to unknown [Populus trichocarpa] (GB:ABK93697.1)"
"258698_at";13798;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3459;"0.0852";"0.003";"AT3G09690";"hydrolase, alpha/beta fold family protein"
"258704_at";13804;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7176;"0.0922";"0.0051";"AT3G09780";"protein kinase family protein"
"258723_at";13823;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3548;"0.0737";"0.0023";"AT3G09600";"myb family transcription factor"
"258724_at";13824;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.663;"0.0068";"0,0001";"AT3G09600";"myb family transcription factor"
"258727_at";13827;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2346;"0,0001";"0";"AT3G11930";"universal stress protein (USP) family protein"
"258736_at";13836;0.4981;"0.0929";"0,0007";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT3G05900";"neurofilament protein-related"
"258741_at";13841;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.8366;"0.0044";"0";"AT3G05790";"Lon protease, putative"
"258742_at";13842;NA;NA;NA;3.5052;0.03;"0,0001";5.328;0.012;"0";2.9007;"0,0002";"0";"AT3G05800";"transcription factor"
"258745_at";13845;0.4713;"0.0826";"0,0006";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT3G05920";"heavy-metal-associated domain-containing protein"
"258747_at";13847;NA;NA;NA;2.6664;0.0646;"0,0002";NA;NA;NA;2.1249;"0,0002";"0";"AT3G05810";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G26800.1); similar to unknown [Populus trichocarpa] (GB:ABK93627.1)"
